class_folder,folder_code,item_id,sku,name,category,mapping_method,folder_code_matches_sku,photo_count,exact_unique_count,exact_duplicate_files,readable_count,format_mismatch_count,min_width,min_height,quality_flags,train,validation,test,object_detection_annotations,training_use,manual_visual_review
C001_tracing paper,C001,item-c001,C001,Tracing paper,Craft Materials & STEM Kits,image_reference,True,25,24,1,25,0,4284,4284,,20,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C002_paper cup,C002,item-c002,C002,Paper cup,Craft Materials & STEM Kits,image_reference,True,32,31,1,32,0,3024,4032,,27,4,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C003_thread,C003,item-c003,C003,Thread,Craft Materials & STEM Kits,image_reference,True,59,57,2,59,9,3024,4032,,40,6,13,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C004_needle,C004,item-c004,C004,Needle,Craft Materials & STEM Kits,image_reference,True,32,32,0,32,0,3024,4032,low_contrast:3,25,2,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C005_yarn,C005,item-c005,C005,Yarn,Craft Materials & STEM Kits,image_reference,True,50,50,0,50,0,4284,5712,,34,11,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C006_air clay,C006,item-c006,C006,Air clay,Craft Materials & STEM Kits,image_reference,True,23,23,0,23,0,3024,4032,,15,5,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C007_acrylic standee A4 landscape-portrait ,C007,item-c007,C007,Acrylic standee A4 landscape/portrait,Craft Materials & STEM Kits,image_reference,True,25,25,0,25,0,4284,5712,,18,4,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C008_acrylic table label,C008,item-c008,C008,Acrylic table label,Craft Materials & STEM Kits,image_reference,True,21,21,0,21,0,3024,4032,,16,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C009_popsicle stick,C009,item-c009,C009,Popsicle stick,Craft Materials & STEM Kits,image_reference,True,33,33,0,33,0,3024,3024,,23,4,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C010_Fabbxible PLA filament,C010,item-c010,C010,Fabbxible PLA filament,Craft Materials & STEM Kits,image_reference,True,28,28,0,28,0,3024,3024,,21,3,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
C011_glue stick ,C011,item-c011,C011,Glue stick,Craft Materials & STEM Kits,image_reference,True,27,27,0,27,27,3024,4032,,22,4,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
