group_id,group_type,group_size,class_folder,member_path,sha256,dhash
dup-0001,near_or_exact,8,E026_Jumper Wire M-M,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E026_Jumper Wire M-M/WhatsApp Image 2026-08-11 at 6.07.02 PM (2).jpeg,b50fecd04c7ccfad82e3636989325914dc6993df176fabb0680a728f6925d452,3a3d3c3353593939
dup-0001,near_or_exact,8,E026_Jumper Wire M-M,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E026_Jumper Wire M-M/WhatsApp Image 2026-08-11 at 6.07.07 PM.jpeg,5463657f7d5c77bdcbd9d09bc5f6f20c01abd1d6aed0d8b7d75074636f880cb6,3a3d3c3353533939
dup-0001,near_or_exact,8,E026_Jumper Wire M-M,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E026_Jumper Wire M-M/WhatsApp Image 2026-08-11 at 6.07.04 PM.jpeg,b01abbd4686828520e678a7089513f056875efa71da86a3d193b36dc769c4bec,3b3c3c3153593939
dup-0001,near_or_exact,8,E027_Jumper Wire M-F,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E027_Jumper Wire M-F/WhatsApp Image 2026-08-11 at 6.07.07 PM.jpeg,5463657f7d5c77bdcbd9d09bc5f6f20c01abd1d6aed0d8b7d75074636f880cb6,3a3d3c3353533939
dup-0001,near_or_exact,8,E026_Jumper Wire M-M,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E026_Jumper Wire M-M/WhatsApp Image 2026-08-11 at 6.07.06 PM (1).jpeg,af047dda5acf8c2f5d60b44063a86bf62b18c1a2773678e355ca244087e4c5cd,3b3d3c3153533939
dup-0001,near_or_exact,8,E027_Jumper Wire M-F,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E027_Jumper Wire M-F/WhatsApp Image 2026-08-11 at 6.07.06 PM (1).jpeg,af047dda5acf8c2f5d60b44063a86bf62b18c1a2773678e355ca244087e4c5cd,3b3d3c3153533939
dup-0001,near_or_exact,8,E026_Jumper Wire M-M,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E026_Jumper Wire M-M/WhatsApp Image 2026-08-11 at 6.07.06 PM.jpeg,e7e47b000c58de3f23d5534c4ff1274d88cfdc7df7d2bba1828cdd843049b96a,3b3d3c3153593939
dup-0001,near_or_exact,8,E027_Jumper Wire M-F,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E027_Jumper Wire M-F/WhatsApp Image 2026-08-11 at 6.07.06 PM.jpeg,e7e47b000c58de3f23d5534c4ff1274d88cfdc7df7d2bba1828cdd843049b96a,3b3d3c3153593939
dup-0002,exact,4,E030_16×2 LCD Display,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E030_16×2 LCD Display/WhatsApp Image 2026-08-11 at 6.06.27 PM (2).jpeg,66f7f356383073f697431e729a6b6ee6ed8ebbee84bd29cb03073d5275795aae,edd9b1371e3f1b0d
dup-0002,exact,4,E030_16×2 LCD Display,FOR AIIC SUBMISSION/Inventory_Photos/Electronics_Robotics/E030_16×2 LCD Display/WhatsApp Image 2026-08-11 at 6.06.24 PM (1).jpeg,66f7f356383073f697431e729a6b6ee6ed8ebbee84bd29cb03073d5275795aae,edd9b1371e3f1b0d
