archive,member_path,category_folder,class_folder,folder_code,filename,extension,bytes,crc32,sha256,detected_format,width,height,brightness,contrast,sharpness_proxy,quality_flags,dhash,read_error,format_mismatch,official_sku,official_item_id,duplicate_group,duplicate_type,split
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4092.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4092.HEIC,heic,1595747,68868ab5,95432fe3a769fac581113dcf4cc13919a6a7ee9cf112afe33b37980b2159dd64,heic,3213,5712,105.61,51.87,4282.65,,07661286d094220e,,False,S002,item-s002,unique-0000,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4173.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4173.HEIC,heic,1487950,ebdbc9e3,04da8ceffe1eb475fa0532cc58bd36ecfff7a5452ffe43fe5289c41992e49fad,heic,3213,5712,113.52,62.42,4156.58,,83923283c0f33186,,False,S002,item-s002,unique-0001,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160313.jpg,Stationery_Office_Supplies,S013_ClipBoard,S013,20260811_160313.jpg,jpg,7508882,07475740,a7faa83417385690c1262697a52bf166ec8fc57c702ebd99f7557564f5042c73,jpeg,4080,3060,108.9,61.73,2342.06,,8764ecec6ce4076d,,False,S013,item-s013,unique-0002,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155303.jpg,Stationery_Office_Supplies,S011_WhiteboardMarker,S011,20260811_155303.jpg,jpg,6691167,cdf9320a,4307a339532a62ed4c0c56c3f7af0b19fa4c4cb32f36a7c2a9c1427f5adaea73,jpeg,4080,3060,103.5,58.47,1188.77,,781b5f16705adede,,False,S011,item-s011,unique-0003,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4094.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4094.HEIC,heic,2280950,77a29ce9,e1cee84db5508facbb297cfc38ff422dc0e436b04924c4acc42b776da583049a,heic,3213,5712,151.36,62.65,3279.18,,2b186cee72360de3,,False,S002,item-s002,unique-0004,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4248.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4248.HEIC,heic,1975221,6f53b6ca,e32524aa1e4bc7243ac0df73b3dd976616e790c95e1387077e2e7e019c0bdf4f,heic,3213,5712,129.51,48.94,2451.1,,8787cbcfcf4f2871,,False,S015,item-s015,unique-0005,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4095.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4095.HEIC,heic,1556755,7142ede4,600a5491d38d903cde3df3d5e546af4f730440850e7e0ce3ee73b7b5d33cb50f,heic,3213,5712,154.44,48.55,1707.69,,2360c4c8607098b0,,False,S002,item-s002,unique-0006,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4102.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4102.HEIC,heic,1839759,8692cac6,08c7559e02fec0ccb88b51fe3d777b7a001910cea715ab19ce3b8802823711d7,heic,3213,5712,147.12,62.66,3789.12,,331f060659e86b34,,False,S002,item-s002,unique-0007,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155247.jpg,Stationery_Office_Supplies,S011_WhiteboardMarker,S011,20260811_155247.jpg,jpg,7613455,92d83646,4902076a9b9cbeba81c3f19d542bdd9f34e2b742f1671c6288e72f52a00f7d55,jpeg,4080,3060,125.15,54.68,4681.2,,1f0cc6a69692aa19,,False,S011,item-s011,unique-0008,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4097.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4097.HEIC,heic,1215277,eeb5ea72,e6ece7f1e7e4123bdc953702ea1ae3da21b8c6da8291fd6427b7042abfa58eef,heic,3213,5712,117.45,57.59,1947.97,,55555555515c7474,,False,S002,item-s002,unique-0009,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4250.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4250.HEIC,heic,1901542,b79d5115,8788b6b1051407df36df68a563c29a911fb9cd4b1df6ed429c6474ba34db0706,heic,5712,3213,157.88,53.95,1568.7,,2c2dac93939bbab7,,False,S015,item-s015,unique-0010,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4252.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4252.HEIC,heic,1647323,f356989e,50e98c9b46ba7d182d63d6227f4b89a62b68f27308c38b6692e46508b8818170,heic,2268,4032,171.79,40.76,2127.77,,00401088684d0102,,False,S015,item-s015,unique-0011,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160337.jpg,Stationery_Office_Supplies,S013_ClipBoard,S013,20260811_160337.jpg,jpg,7343799,1164e9d1,cc62feb38046ce9019b40a28d6a5e8df166490320d0394c7b1223b1389a4ccda,jpeg,4080,3060,102.96,61.56,1965.76,,f1d9f9f9d1d1d173,,False,S013,item-s013,unique-0012,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4096.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4096.HEIC,heic,1662468,197f171b,478bedafbdfc067311ada022d6d3a8fb8157bdf5529a8cc1bca3db6165396715,heic,3213,5712,165.99,58.55,4847.42,,38383091e43201cc,,False,S002,item-s002,unique-0013,unique,validation
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4238.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4238.HEIC,heic,1765477,d9d9bd7b,e853c52798c3533aa017e6d91cf6346c7124d0f7b1fdb82016ad0f310dea0d90,heic,3213,5712,180.47,64.48,5559.59,,21f571614551ddf4,,False,S015,item-s015,unique-0014,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4093.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4093.HEIC,heic,1610588,8aa00c68,822ede0b2c3dbf106bd8fa0730187895930150698b12eecbf69e67315bfc0b9c,heic,3213,5712,117.53,49.25,2167.59,,3f3c3f68f1cfc6dc,,False,S002,item-s002,unique-0015,unique,validation
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160611.jpg,Stationery_Office_Supplies,S013_ClipBoard,S013,20260811_160611.jpg,jpg,8261339,77ba5bfa,dc4052ae5e61b08a6a5f3f4c4dd3b6a9e8988a22d3d7d3b6c73f562579d0600c,jpeg,4080,3060,90.0,51.22,2753.28,,3c3f3e36343d191b,,False,S013,item-s013,unique-0016,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4172.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4172.HEIC,heic,1735814,4d295ed8,9031f30c8b80e9ecbba707e6fab13e306a9ac3e524b05982439c36f88f4b7d29,heic,3213,5712,162.36,67.64,4613.84,,18210140f6b0710f,,False,S002,item-s002,unique-0017,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4255.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4255.HEIC,heic,1186251,fcd55a13,b6729c573f670a9be60a6d1df2707ff866876b69485559e9eee1c6e9668d20e7,heic,2268,4032,135.5,61.86,2135.38,,13b00503034122cf,,False,S015,item-s015,unique-0018,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4091.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4091.HEIC,heic,1322734,a6720efe,971b6cda1633a3e5e48f320390adb40f16943ad7cea440404fddbe5640f98ae1,heic,5712,3213,120.93,48.69,2642.11,,3e6864746d6d2d1f,,False,S002,item-s002,unique-0019,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4245.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4245.HEIC,heic,956173,dd2edd43,2304a9dda92c61448e62bdeef0517c554bff7f20e12a629451c294d70186ecac,heic,2268,4032,134.99,58.49,2151.15,,8642221d6d4ddf3e,,False,S015,item-s015,unique-0020,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S007_BinderClip/20260811_160814.jpg,Stationery_Office_Supplies,S007_BinderClip,S007,20260811_160814.jpg,jpg,7697302,f8dac160,143cfc55a4de596a231f560d87949a9c35d5adba582758d55c552bb99f594d4a,jpeg,4080,3060,104.88,43.16,8104.04,,0007393c7c690816,,False,S007,item-s007,unique-0021,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4256.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4256.HEIC,heic,794507,610a89eb,7bbd1a233d875661ff5516417edf5079b7f4b8e14f5dddb5932d3b6f611c3d0b,heic,2268,4032,135.39,60.05,5278.54,,7373d1a298d8f3f0,,False,S015,item-s015,unique-0022,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155040.jpg,Stationery_Office_Supplies,S011_WhiteboardMarker,S011,20260811_155040.jpg,jpg,7453949,570bc745,2dada7b1392cdbf271f719b7d122e71b1449142ce6b8d0faddc1c5094c5ddba7,jpeg,4080,3060,131.53,65.05,1486.18,,c7c7e3f3e124274f,,False,S011,item-s011,unique-0023,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155328.jpg,Stationery_Office_Supplies,S011_WhiteboardMarker,S011,20260811_155328.jpg,jpg,7937623,c6d5dfdf,21c4d4ed84782af5b68803d7f394f60c5d5826333eaf8843e7095e447beb6c04,jpeg,4080,3060,102.84,71.62,3298.21,,8cc80646c6243464,,False,S011,item-s011,unique-0024,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155300.jpg,Stationery_Office_Supplies,S011_WhiteboardMarker,S011,20260811_155300.jpg,jpg,7331604,20659d01,1ebfe2241e5ee00008e69fe433feba16bd97d6c5903ee81a5c850be3282433e4,jpeg,4080,3060,106.06,59.81,1968.49,,5b1a5c19f1dadcdc,,False,S011,item-s011,unique-0025,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4236.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4236.HEIC,heic,1607104,b15dd348,c59d20121b5a7646d8e85589af66b9835a0c4cd437db96d0217cdacf9400eb63,heic,3213,5712,174.66,37.57,2076.33,,818ac8e862188903,,False,S015,item-s015,unique-0026,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S012_Sellotape/20260811_155720.jpg,Stationery_Office_Supplies,S012_Sellotape,S012,20260811_155720.jpg,jpg,5384196,23828ead,534fcf18b0177b1148217ebe8df15d0bc918bb3c615a714458948cbf6b286503,jpeg,4080,3060,117.41,53.32,1421.38,,060f270707e7193e,,False,S012,item-s012,unique-0027,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160515.jpg,Stationery_Office_Supplies,S013_ClipBoard,S013,20260811_160515.jpg,jpg,7497560,b6633797,3745509bee98b7fdefb97e586c2ffbcc018dbca689a6a3eead082915457b3936,jpeg,4080,3060,108.15,68.32,1767.52,,76c60f2b0b0f3bbb,,False,S013,item-s013,unique-0028,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S007_BinderClip/20260811_160909.jpg,Stationery_Office_Supplies,S007_BinderClip,S007,20260811_160909.jpg,jpg,7585333,72ed1ffa,280b5cad342f6bbaea3073582a63c5091501616c470fe13771d156beb5ad2b25,jpeg,4080,3060,142.4,27.71,1192.6,,5f37a7a73b9d8d13,,False,S007,item-s007,unique-0029,unique,test
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4244.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4244.HEIC,heic,970431,7a975359,bab1bc12da661ffdd9a2ea1babd7e9eb7d20b83140618ae2633b91e3f129b892,heic,2268,4032,130.11,62.04,3521.16,,649c33c7d3f3c6cc,,False,S015,item-s015,unique-0030,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155313.jpg,Stationery_Office_Supplies,S011_WhiteboardMarker,S011,20260811_155313.jpg,jpg,7612769,b372d183,45e74f235667c7660f964797754804a2aede1f5826a2aa06b18abbdfef69d4ee,jpeg,4080,3060,137.11,49.05,2120.47,,1f8ed6b424641e1e,,False,S011,item-s011,unique-0031,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_154953.jpg,Stationery_Office_Supplies,S011_WhiteboardMarker,S011,20260811_154953.jpg,jpg,7539689,aa08bad3,59525cb36976438d4647b97c82cd6709f0171be2328f9ace5572ebe343c122c3,jpeg,4080,3060,124.52,52.09,2313.33,,783c3e2f212151c3,,False,S011,item-s011,unique-0032,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4257.HEIC,Stationery_Office_Supplies,S015_Eraser,S015,IMG_4257.HEIC,heic,912213,febb5c21,d155b928117fd20a8a897f4f32df7ef2db76201e296030e6ea6f2e7046a00ad3,heic,2268,4032,110.74,65.09,1948.92,,dcc7ceecc6e6cee7,,False,S015,item-s015,unique-0033,unique,train
FOR AIIC SUBMISSION-20260910T062426Z-1-001.zip,FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4166.HEIC,Stationery_Office_Supplies,S002_PermanentMarker,S002,IMG_4166.HEIC,heic,1652744,2c295afc,683f38150f96515acd7ff34050c4e55eb6eff4304d41b51f5e6ed8332324a0b2,heic,5712,3213,177.11,59.91,4246.86,,622798a9a5c9d913,,False,S002,item-s002,unique-0034,unique,validation
