member_path,official_sku,sha256,duplicate_group,split
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4092.HEIC,S002,95432fe3a769fac581113dcf4cc13919a6a7ee9cf112afe33b37980b2159dd64,unique-0000,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4173.HEIC,S002,04da8ceffe1eb475fa0532cc58bd36ecfff7a5452ffe43fe5289c41992e49fad,unique-0001,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160313.jpg,S013,a7faa83417385690c1262697a52bf166ec8fc57c702ebd99f7557564f5042c73,unique-0002,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155303.jpg,S011,4307a339532a62ed4c0c56c3f7af0b19fa4c4cb32f36a7c2a9c1427f5adaea73,unique-0003,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4094.HEIC,S002,e1cee84db5508facbb297cfc38ff422dc0e436b04924c4acc42b776da583049a,unique-0004,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4248.HEIC,S015,e32524aa1e4bc7243ac0df73b3dd976616e790c95e1387077e2e7e019c0bdf4f,unique-0005,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4095.HEIC,S002,600a5491d38d903cde3df3d5e546af4f730440850e7e0ce3ee73b7b5d33cb50f,unique-0006,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4102.HEIC,S002,08c7559e02fec0ccb88b51fe3d777b7a001910cea715ab19ce3b8802823711d7,unique-0007,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155247.jpg,S011,4902076a9b9cbeba81c3f19d542bdd9f34e2b742f1671c6288e72f52a00f7d55,unique-0008,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4097.HEIC,S002,e6ece7f1e7e4123bdc953702ea1ae3da21b8c6da8291fd6427b7042abfa58eef,unique-0009,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4250.HEIC,S015,8788b6b1051407df36df68a563c29a911fb9cd4b1df6ed429c6474ba34db0706,unique-0010,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4252.HEIC,S015,50e98c9b46ba7d182d63d6227f4b89a62b68f27308c38b6692e46508b8818170,unique-0011,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160337.jpg,S013,cc62feb38046ce9019b40a28d6a5e8df166490320d0394c7b1223b1389a4ccda,unique-0012,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4096.HEIC,S002,478bedafbdfc067311ada022d6d3a8fb8157bdf5529a8cc1bca3db6165396715,unique-0013,validation
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4238.HEIC,S015,e853c52798c3533aa017e6d91cf6346c7124d0f7b1fdb82016ad0f310dea0d90,unique-0014,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4093.HEIC,S002,822ede0b2c3dbf106bd8fa0730187895930150698b12eecbf69e67315bfc0b9c,unique-0015,validation
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160611.jpg,S013,dc4052ae5e61b08a6a5f3f4c4dd3b6a9e8988a22d3d7d3b6c73f562579d0600c,unique-0016,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4172.HEIC,S002,9031f30c8b80e9ecbba707e6fab13e306a9ac3e524b05982439c36f88f4b7d29,unique-0017,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4255.HEIC,S015,b6729c573f670a9be60a6d1df2707ff866876b69485559e9eee1c6e9668d20e7,unique-0018,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S002_PermanentMarker/IMG_4091.HEIC,S002,971b6cda1633a3e5e48f320390adb40f16943ad7cea440404fddbe5640f98ae1,unique-0019,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4245.HEIC,S015,2304a9dda92c61448e62bdeef0517c554bff7f20e12a629451c294d70186ecac,unique-0020,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S007_BinderClip/20260811_160814.jpg,S007,143cfc55a4de596a231f560d87949a9c35d5adba582758d55c552bb99f594d4a,unique-0021,test
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4256.HEIC,S015,7bbd1a233d875661ff5516417edf5079b7f4b8e14f5dddb5932d3b6f611c3d0b,unique-0022,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155040.jpg,S011,2dada7b1392cdbf271f719b7d122e71b1449142ce6b8d0faddc1c5094c5ddba7,unique-0023,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155328.jpg,S011,21c4d4ed84782af5b68803d7f394f60c5d5826333eaf8843e7095e447beb6c04,unique-0024,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S011_WhiteboardMarker/20260811_155300.jpg,S011,1ebfe2241e5ee00008e69fe433feba16bd97d6c5903ee81a5c850be3282433e4,unique-0025,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S015_Eraser/IMG_4236.HEIC,S015,c59d20121b5a7646d8e85589af66b9835a0c4cd437db96d0217cdacf9400eb63,unique-0026,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S012_Sellotape/20260811_155720.jpg,S012,534fcf18b0177b1148217ebe8df15d0bc918bb3c615a714458948cbf6b286503,unique-0027,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S013_ClipBoard/20260811_160515.jpg,S013,3745509bee98b7fdefb97e586c2ffbcc018dbca689a6a3eead082915457b3936,unique-0028,train
FOR AIIC SUBMISSION/Inventory_Photos/Stationery_Office_Supplies/S007_BinderClip/20260811_160909.jpg,S007,280b5cad342f6bbaea3073582a63c5091501616c470fe13771d156beb5ad2b25,unique-0029,test
