member_path,width,height,bytes,readable
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_007.JPG,3024,4032,1527119,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_005.JPG,4284,5712,2238370,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_008.JPG,3024,4032,1480894,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_002.JPG,3024,4032,1414950,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_4_store concourse/Store_4_001.jpg,960,1280,189401,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_003.JPG,3024,4032,1531224,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_004(1).JPG,4284,5712,2267813,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_4_store concourse/Store_4_003.jpg,960,1280,214829,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_001.JPG,3024,4032,1542451,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_003.JPG,4284,5712,2696192,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_010.JPG,3024,4032,1594351,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_006.JPG,4284,5712,2269650,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_008.JPG,3024,4032,1452966,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_005.JPG,3024,4032,1547010,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_002.JPG,4284,5712,2411037,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_002.JPG,3024,4032,1347555,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_007.JPG,3024,4032,1658287,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_005.JPG,4284,5712,2433916,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_007.JPG,4284,5712,2437612,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_001.JPG,4284,5712,2582759,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_004.JPG,3024,4032,1441236,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_004.JPG,4284,5712,2556722,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_001.JPG,3024,4032,1621588,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_4_store concourse/Store_4_002.jpg,960,1280,249396,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_009.JPG,3024,4032,1426993,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_004.JPG,4284,5712,2284485,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_1_Store Level 4/STORE 1_006.JPG,3024,4032,1575416,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_006.JPG,3024,4032,1526764,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_2_Edustore/STORE 2_011.JPG,3024,4032,1618994,True
FOR AIIC SUBMISSION/Storeroom_Fact_Sheet/Store_3_Chemical room/STORE 3_003.JPG,4284,5712,2270004,True
